Index,roll_number,batch_year,branch,student_name,gender,board_of_education,number_of_courses,pursuing_year,current_sem_pursuing,name_of_subjects_enrolled,grade_per_subject,extracurricular_activities,student_absence_days,Minor1,Minor 2,End Semester,cgpa,email
14,se16uai15,2016,Artificial Intelligence,devinder,male,Other,7,1,1,French,A,Others,4,3.522794517,15.11696299,56.00993886,4.88,devinder@gmail.com
14,se16uai15,2016,Artificial Intelligence,devinder,male,Other,7,1,1,Maths,B,Others,4,10.91461459,28.66393234,1.824019458,4.88,devinder@gmail.com
14,se16uai15,2016,Artificial Intelligence,devinder,male,Other,7,1,1,English,A,Others,4,7.197281911,11.65742773,87.4314825,4.88,devinder@gmail.com
14,se16uai15,2016,Artificial Intelligence,devinder,male,Other,7,1,1,Thermodynamics,B+,Others,4,20.86410036,1.515404195,36.4624387,4.88,devinder@gmail.com
14,se16uai15,2016,Artificial Intelligence,devinder,male,Other,7,1,1,Environmental Science,A,Others,4,27.57364527,3.88962584,19.54184259,4.88,devinder@gmail.com
15,se16uai16,2016,Artificial Intelligence,dharambir,male,ICSE,7,1,1,French,F,Social Services,13,6.553930025,22.30775331,52.28556351,9.64,dharambir@gmail.com
15,se16uai16,2016,Artificial Intelligence,dharambir,male,ICSE,7,1,1,Electrical,B+,Social Services,13,13.15237527,3.989468649,50.42767061,9.64,dharambir@gmail.com
15,se16uai16,2016,Artificial Intelligence,dharambir,male,ICSE,7,1,1,Chemistry,C,Social Services,13,10.02209196,2.324300907,38.75744716,9.64,dharambir@gmail.com
15,se16uai16,2016,Artificial Intelligence,dharambir,male,ICSE,7,1,1,Maths,D,Social Services,13,24.12929259,20.75537396,65.70566918,9.64,dharambir@gmail.com
15,se16uai16,2016,Artificial Intelligence,dharambir,male,ICSE,7,1,1,Thermodynamics,A,Social Services,13,8.721880515,25.82266325,54.47804416,9.64,dharambir@gmail.com
15,se16uai16,2016,Artificial Intelligence,dharambir,male,ICSE,7,1,1,English,C,Social Services,13,7.408430828,8.234643337,61.14253727,9.64,dharambir@gmail.com
15,se16uai16,2016,Artificial Intelligence,dharambir,male,ICSE,7,1,1,Environmental Science,D,Social Services,13,23.04783864,8.87875838,9.759106136,9.64,dharambir@gmail.com
16,se16uai17,2016,Artificial Intelligence,diljan,male,CBSE,7,1,1,Electrical,B+,Others,23,8.538944301,8.04867962,32.02918553,7.91,diljan@gmail.com
16,se16uai17,2016,Artificial Intelligence,diljan,male,CBSE,7,1,1,Chemistry,A,Others,23,28.98798891,9.992162366,85.29576652,7.91,diljan@gmail.com
16,se16uai17,2016,Artificial Intelligence,diljan,male,CBSE,7,1,1,English,A,Others,23,6.5579288,18.79363715,50.72791112,7.91,diljan@gmail.com
16,se16uai17,2016,Artificial Intelligence,diljan,male,CBSE,7,1,1,Maths,C,Others,23,25.11369033,15.56265322,55.15998728,7.91,diljan@gmail.com
16,se16uai17,2016,Artificial Intelligence,diljan,male,CBSE,7,1,1,Thermodynamics,B,Others,23,4.450583501,8.751958796,91.60842084,7.91,diljan@gmail.com
16,se16uai17,2016,Artificial Intelligence,diljan,male,CBSE,7,1,1,French,C+,Others,23,7.387964407,15.2097275,82.97967456,7.91,diljan@gmail.com
16,se16uai17,2016,Artificial Intelligence,diljan,male,CBSE,7,1,1,Environmental Science,A,Others,23,5.168771511,2.226442103,22.95510548,7.91,diljan@gmail.com
17,se16uai18,2016,Artificial Intelligence,farha,female,CBSE,7,1,1,Maths,C,Others,18,7.205288919,29.99642287,52.92254525,7.17,farha@gmail.com
17,se16uai18,2016,Artificial Intelligence,farha,female,CBSE,7,1,1,French,C+,Others,18,1.364073953,7.438969604,29.23780109,7.17,farha@gmail.com
17,se16uai18,2016,Artificial Intelligence,farha,female,CBSE,7,1,1,English,B+,Others,18,7.132606644,11.81189402,89.24924018,7.17,farha@gmail.com
17,se16uai18,2016,Artificial Intelligence,farha,female,CBSE,7,1,1,Chemistry,C+,Others,18,5.192832954,28.59828164,47.49973789,7.17,farha@gmail.com
17,se16uai18,2016,Artificial Intelligence,farha,female,CBSE,7,1,1,Electrical,A,Others,18,14.60512945,20.10548351,16.6173372,7.17,farha@gmail.com
17,se16uai18,2016,Artificial Intelligence,farha,female,CBSE,7,1,1,Thermodynamics,B,Others,18,26.50509987,23.30341665,4.622404006,7.17,farha@gmail.com
17,se16uai18,2016,Artificial Intelligence,farha,female,CBSE,7,1,1,Environmental Science,F,Others,18,23.33465775,14.50574168,1.248406865,7.17,farha@gmail.com
18,se16uai19,2016,Artificial Intelligence,fauina,female,ICSE,7,1,1,French,C,Club Activities,7,4.219046267,8.420404291,14.70462198,5.7,fauina@gmail.com
18,se16uai19,2016,Artificial Intelligence,fauina,female,ICSE,7,1,1,Environmental Science,D,Club Activities,7,29.04630771,21.52379641,80.86426497,5.7,fauina@gmail.com
18,se16uai19,2016,Artificial Intelligence,fauina,female,ICSE,7,1,1,English,B,Club Activities,7,7.755064242,7.348976987,60.05386021,5.7,fauina@gmail.com
18,se16uai19,2016,Artificial Intelligence,fauina,female,ICSE,7,1,1,Chemistry,B+,Club Activities,7,16.89621834,25.97016753,14.16641061,5.7,fauina@gmail.com
18,se16uai19,2016,Artificial Intelligence,fauina,female,ICSE,7,1,1,Electrical,B,Club Activities,7,26.62304539,28.72337733,24.87761496,5.7,fauina@gmail.com
18,se16uai19,2016,Artificial Intelligence,fauina,female,ICSE,7,1,1,Thermodynamics,B,Club Activities,7,26.20299407,19.11166157,8.393346346,5.7,fauina@gmail.com
18,se16uai19,2016,Artificial Intelligence,fauina,female,ICSE,7,1,1,Maths,C+,Club Activities,7,8.951212096,25.99760648,62.21177286,5.7,fauina@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,7,1,1,Chemistry,B,Indoor Games,12,22.00499681,5.180038725,5.322994876,9.27,aafreen@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,7,1,1,Environmental Science,A,Indoor Games,12,21.26013214,20.62180044,92.19589782,9.27,aafreen@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,7,1,1,Maths,C+,Indoor Games,12,27.13045709,13.1021759,59.27972206,9.27,aafreen@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,7,1,1,English,A,Indoor Games,12,29.73154278,2.084909308,3.251495054,9.27,aafreen@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,7,1,1,Electrical,B+,Indoor Games,12,26.52458167,21.25331751,76.40499126,9.27,aafreen@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,7,1,1,French,C,Indoor Games,12,12.72429543,4.5818924,96.02161622,9.27,aafreen@gmail.com
1,se16uai2,2016,Artificial Intelligence,aafreen,female,State,7,1,1,Thermodynamics,B+,Indoor Games,12,29.24499376,24.40738846,89.41436092,9.27,aafreen@gmail.com
19,se16uai20,2016,Artificial Intelligence,garv,male,Other,7,1,1,Thermodynamics,F,Others,3,12.24072184,6.4545134,50.05689995,5.49,garv@gmail.com
19,se16uai20,2016,Artificial Intelligence,garv,male,Other,7,1,1,Maths,B+,Others,3,20.93208086,5.653452717,86.40747888,5.49,garv@gmail.com
19,se16uai20,2016,Artificial Intelligence,garv,male,Other,7,1,1,Electrical,B+,Others,3,18.35325479,23.48719547,86.88589351,5.49,garv@gmail.com
19,se16uai20,2016,Artificial Intelligence,garv,male,Other,7,1,1,French,A+,Others,3,20.44292263,4.913044595,73.24756561,5.49,garv@gmail.com
19,se16uai20,2016,Artificial Intelligence,garv,male,Other,7,1,1,English,C+,Others,3,27.43602784,21.13781499,26.47329498,5.49,garv@gmail.com
19,se16uai20,2016,Artificial Intelligence,garv,male,Other,7,1,1,Chemistry,B,Others,3,7.355905207,12.39282957,4.667652079,5.49,garv@gmail.com
19,se16uai20,2016,Artificial Intelligence,garv,male,Other,7,1,1,Environmental Science,C+,Others,3,4.097953397,4.512688377,21.56921282,5.49,garv@gmail.com
20,se16uai21,2016,Artificial Intelligence,humera,female,ICSE,7,1,1,Chemistry,F,Research Work,27,7.997832588,1.169905527,6.286658043,6.41,humera@gmail.com
20,se16uai21,2016,Artificial Intelligence,humera,female,ICSE,7,1,1,Electrical,C+,Research Work,27,28.43648321,29.41111223,32.49091499,6.41,humera@gmail.com
20,se16uai21,2016,Artificial Intelligence,humera,female,ICSE,7,1,1,English,C+,Research Work,27,1.697109902,11.4777758,45.18327797,6.41,humera@gmail.com
20,se16uai21,2016,Artificial Intelligence,humera,female,ICSE,7,1,1,French,C,Research Work,27,26.09468128,12.76387214,28.59572398,6.41,humera@gmail.com
20,se16uai21,2016,Artificial Intelligence,humera,female,ICSE,7,1,1,Maths,C+,Research Work,27,1.946558099,23.74999097,36.74239881,6.41,humera@gmail.com
20,se16uai21,2016,Artificial Intelligence,humera,female,ICSE,7,1,1,Thermodynamics,F,Research Work,27,29.34366588,7.859060841,23.72343576,6.41,humera@gmail.com
20,se16uai21,2016,Artificial Intelligence,humera,female,ICSE,7,1,1,Environmental Science,F,Research Work,27,17.77965098,22.21162276,7.180052129,6.41,humera@gmail.com
21,se16uai22,2016,Artificial Intelligence,imtyaz,male,ICSE,7,1,1,French,B,Outdoor Games,15,10.27895598,5.614948028,66.06747954,5.26,imtyaz@gmail.com
21,se16uai22,2016,Artificial Intelligence,imtyaz,male,ICSE,7,1,1,Maths,B,Outdoor Games,15,6.77691257,2.677671912,31.10041707,5.26,imtyaz@gmail.com
21,se16uai22,2016,Artificial Intelligence,imtyaz,male,ICSE,7,1,1,Environmental Science,B,Outdoor Games,15,20.22930199,4.941559174,56.11875903,5.26,imtyaz@gmail.com
21,se16uai22,2016,Artificial Intelligence,imtyaz,male,ICSE,7,1,1,English,F,Outdoor Games,15,11.96805309,25.1295244,52.63341875,5.26,imtyaz@gmail.com
21,se16uai22,2016,Artificial Intelligence,imtyaz,male,ICSE,7,1,1,Chemistry,C+,Outdoor Games,15,27.66254141,22.68898913,40.09176678,5.26,imtyaz@gmail.com
21,se16uai22,2016,Artificial Intelligence,imtyaz,male,ICSE,7,1,1,Thermodynamics,A,Outdoor Games,15,5.363975786,3.768431034,10.24462965,5.26,imtyaz@gmail.com
21,se16uai22,2016,Artificial Intelligence,imtyaz,male,ICSE,7,1,1,Electrical,D,Outdoor Games,15,17.532583,2.460576375,90.65077435,5.26,imtyaz@gmail.com
22,se16uai23,2016,Artificial Intelligence,jamila,female,CBSE,7,1,1,Chemistry,F,Social Services,19,21.71541724,26.277224,3.160299919,4.04,jamila@gmail.com
22,se16uai23,2016,Artificial Intelligence,jamila,female,CBSE,7,1,1,English,B+,Social Services,19,4.958440586,24.46303715,85.10053544,4.04,jamila@gmail.com
22,se16uai23,2016,Artificial Intelligence,jamila,female,CBSE,7,1,1,Maths,C+,Social Services,19,13.2667873,5.412162707,91.07886619,4.04,jamila@gmail.com
22,se16uai23,2016,Artificial Intelligence,jamila,female,CBSE,7,1,1,Environmental Science,C+,Social Services,19,23.9392727,19.75409437,36.7711679,4.04,jamila@gmail.com
22,se16uai23,2016,Artificial Intelligence,jamila,female,CBSE,7,1,1,French,C,Social Services,19,5.060348973,28.26568898,45.37500884,4.04,jamila@gmail.com
22,se16uai23,2016,Artificial Intelligence,jamila,female,CBSE,7,1,1,Thermodynamics,C,Social Services,19,22.08343977,21.55237251,24.12565961,4.04,jamila@gmail.com
22,se16uai23,2016,Artificial Intelligence,jamila,female,CBSE,7,1,1,Electrical,A+,Social Services,19,17.69358676,6.323277863,39.38105164,4.04,jamila@gmail.com
23,se16uai24,2016,Artificial Intelligence,javuneesha,female,ICSE,7,1,1,Environmental Science,C+,Outdoor Games,4,29.92499411,6.406273586,62.64928051,9.01,javuneesha@gmail.com
23,se16uai24,2016,Artificial Intelligence,javuneesha,female,ICSE,7,1,1,English,C+,Outdoor Games,4,22.17830787,12.03449843,22.45095603,9.01,javuneesha@gmail.com
23,se16uai24,2016,Artificial Intelligence,javuneesha,female,ICSE,7,1,1,Maths,D,Outdoor Games,4,18.6937469,3.830701192,96.57708367,9.01,javuneesha@gmail.com
23,se16uai24,2016,Artificial Intelligence,javuneesha,female,ICSE,7,1,1,French,A,Outdoor Games,4,8.671262826,6.046450657,25.88116294,9.01,javuneesha@gmail.com
23,se16uai24,2016,Artificial Intelligence,javuneesha,female,ICSE,7,1,1,Thermodynamics,D,Outdoor Games,4,22.53670705,15.75607701,94.69587772,9.01,javuneesha@gmail.com
23,se16uai24,2016,Artificial Intelligence,javuneesha,female,ICSE,7,1,1,Chemistry,C,Outdoor Games,4,15.71104392,17.53910958,30.24604962,9.01,javuneesha@gmail.com
23,se16uai24,2016,Artificial Intelligence,javuneesha,female,ICSE,7,1,1,Electrical,C+,Outdoor Games,4,25.3165071,7.676845915,82.27309772,9.01,javuneesha@gmail.com
24,se16uai25,2016,Artificial Intelligence,joohi,female,State,7,1,1,Chemistry,B,Research Work,17,26.21349129,24.5547173,36.2796779,9.8,joohi@gmail.com
24,se16uai25,2016,Artificial Intelligence,joohi,female,State,7,1,1,French,A,Research Work,17,29.65923861,14.51104712,26.55312186,9.8,joohi@gmail.com
24,se16uai25,2016,Artificial Intelligence,joohi,female,State,7,1,1,Electrical,C+,Research Work,17,24.74719436,1.640588108,48.93466661,9.8,joohi@gmail.com
24,se16uai25,2016,Artificial Intelligence,joohi,female,State,7,1,1,Environmental Science,D,Research Work,17,18.82843614,28.80350817,70.39290318,9.8,joohi@gmail.com
24,se16uai25,2016,Artificial Intelligence,joohi,female,State,7,1,1,Maths,D,Research Work,17,27.5720532,21.10572031,71.11763418,9.8,joohi@gmail.com
24,se16uai25,2016,Artificial Intelligence,joohi,female,State,7,1,1,English,C,Research Work,17,26.96781063,16.32855279,43.6384274,9.8,joohi@gmail.com
24,se16uai25,2016,Artificial Intelligence,joohi,female,State,7,1,1,Thermodynamics,B,Research Work,17,2.007782115,29.32113941,31.64266199,9.8,joohi@gmail.com
25,se16uai26,2016,Artificial Intelligence,kaptan,male,Other,7,1,1,Environmental Science,C,Research Work,26,7.00255696,7.320012659,55.66121651,4.87,kaptan@gmail.com
25,se16uai26,2016,Artificial Intelligence,kaptan,male,Other,7,1,1,French,F,Research Work,26,2.977130797,17.63225494,52.07251059,4.87,kaptan@gmail.com
25,se16uai26,2016,Artificial Intelligence,kaptan,male,Other,7,1,1,Chemistry,F,Research Work,26,27.00289041,12.313762,78.45376855,4.87,kaptan@gmail.com
25,se16uai26,2016,Artificial Intelligence,kaptan,male,Other,7,1,1,Maths,C+,Research Work,26,20.00227865,10.9747165,83.10452394,4.87,kaptan@gmail.com
25,se16uai26,2016,Artificial Intelligence,kaptan,male,Other,7,1,1,Thermodynamics,C+,Research Work,26,27.59499252,11.90844324,61.4331107,4.87,kaptan@gmail.com
25,se16uai26,2016,Artificial Intelligence,kaptan,male,Other,7,1,1,English,B+,Research Work,26,19.62490883,14.33487737,97.38592014,4.87,kaptan@gmail.com
25,se16uai26,2016,Artificial Intelligence,kaptan,male,Other,7,1,1,Electrical,B,Research Work,26,28.32026364,20.00176087,31.21490336,4.87,kaptan@gmail.com
26,se16uai27,2016,Artificial Intelligence,karishma,female,ICSE,7,1,1,Maths,B+,Outdoor Games,18,24.66404073,27.92925575,23.85283778,7.71,karishma@gmail.com
26,se16uai27,2016,Artificial Intelligence,karishma,female,ICSE,7,1,1,Thermodynamics,D,Outdoor Games,18,28.97599414,2.251388676,67.42443959,7.71,karishma@gmail.com
26,se16uai27,2016,Artificial Intelligence,karishma,female,ICSE,7,1,1,Electrical,B+,Outdoor Games,18,14.05460774,14.81717399,26.72974907,7.71,karishma@gmail.com
26,se16uai27,2016,Artificial Intelligence,karishma,female,ICSE,7,1,1,Environmental Science,C+,Outdoor Games,18,18.46709852,4.540630948,99.91643945,7.71,karishma@gmail.com
26,se16uai27,2016,Artificial Intelligence,karishma,female,ICSE,7,1,1,Chemistry,B+,Outdoor Games,18,7.248361281,11.54551619,35.91024333,7.71,karishma@gmail.com
26,se16uai27,2016,Artificial Intelligence,karishma,female,ICSE,7,1,1,English,B,Outdoor Games,18,8.62286029,24.13955852,53.62904523,7.71,karishma@gmail.com
26,se16uai27,2016,Artificial Intelligence,karishma,female,ICSE,7,1,1,French,A+,Outdoor Games,18,8.472102325,16.05840529,19.88667544,7.71,karishma@gmail.com
27,se16uai28,2016,Artificial Intelligence,kiranti,female,ICSE,7,1,1,Maths,A+,Outdoor Games,7,12.6138651,22.47299042,95.72893107,9.73,kiranti@gmail.com
27,se16uai28,2016,Artificial Intelligence,kiranti,female,ICSE,7,1,1,French,D,Outdoor Games,7,21.08203116,3.207268303,17.38282414,9.73,kiranti@gmail.com
27,se16uai28,2016,Artificial Intelligence,kiranti,female,ICSE,7,1,1,Chemistry,C+,Outdoor Games,7,17.88713901,25.00879693,11.47863912,9.73,kiranti@gmail.com
27,se16uai28,2016,Artificial Intelligence,kiranti,female,ICSE,7,1,1,English,A,Outdoor Games,7,10.02357607,20.75357906,8.159106014,9.73,kiranti@gmail.com
27,se16uai28,2016,Artificial Intelligence,kiranti,female,ICSE,7,1,1,Electrical,A+,Outdoor Games,7,11.03232121,2.72539617,52.62325953,9.73,kiranti@gmail.com
27,se16uai28,2016,Artificial Intelligence,kiranti,female,ICSE,7,1,1,Thermodynamics,B+,Outdoor Games,7,2.090219772,27.26853131,80.7512371,9.73,kiranti@gmail.com
27,se16uai28,2016,Artificial Intelligence,kiranti,female,ICSE,7,1,1,Environmental Science,C+,Outdoor Games,7,16.32446456,20.00859006,95.5346396,9.73,kiranti@gmail.com
28,se16uai29,2016,Artificial Intelligence,kushmita,female,Other,7,1,1,Electrical,A+,Research Work,30,6.500200174,10.06762402,56.4273886,9.43,kushmita@gmail.com
28,se16uai29,2016,Artificial Intelligence,kushmita,female,Other,7,1,1,Maths,A,Research Work,30,5.251391717,26.15818229,92.33530977,9.43,kushmita@gmail.com
28,se16uai29,2016,Artificial Intelligence,kushmita,female,Other,7,1,1,English,B,Research Work,30,4.89465812,21.55578302,97.02218174,9.43,kushmita@gmail.com
28,se16uai29,2016,Artificial Intelligence,kushmita,female,Other,7,1,1,French,F,Research Work,30,3.532619578,29.08792915,15.95339906,9.43,kushmita@gmail.com
28,se16uai29,2016,Artificial Intelligence,kushmita,female,Other,7,1,1,Environmental Science,A+,Research Work,30,21.46361186,11.64816417,75.25377275,9.43,kushmita@gmail.com
28,se16uai29,2016,Artificial Intelligence,kushmita,female,Other,7,1,1,Thermodynamics,D,Research Work,30,29.64560153,23.30271254,29.22044382,9.43,kushmita@gmail.com
28,se16uai29,2016,Artificial Intelligence,kushmita,female,Other,7,1,1,Chemistry,B+,Research Work,30,6.676505157,12.33656054,36.23771988,9.43,kushmita@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,7,1,1,Chemistry,B+,Club Activities,28,7.881887667,2.999439442,45.63709242,9.4,abhay@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,7,1,1,Electrical,B,Club Activities,28,21.32201024,11.82051723,31.37289549,9.4,abhay@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,7,1,1,French,C,Club Activities,28,3.414833073,19.71869824,80.20260596,9.4,abhay@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,7,1,1,English,B+,Club Activities,28,20.92795633,10.76058001,36.14368538,9.4,abhay@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,7,1,1,Maths,F,Club Activities,28,8.741485768,18.56897801,73.37231318,9.4,abhay@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,7,1,1,Thermodynamics,B+,Club Activities,28,11.45796956,29.24887912,16.32266232,9.4,abhay@gmail.com
2,se16uai3,2016,Artificial Intelligence,abhay,male,CBSE,7,1,1,Environmental Science,D,Club Activities,28,13.39954582,9.741144271,15.89687094,9.4,abhay@gmail.com
29,se16uai30,2016,Artificial Intelligence,laskshita,female,State,7,1,1,English,C,Indoor Games,15,15.67856599,4.655484664,40.09090011,6.77,laskshita@gmail.com
29,se16uai30,2016,Artificial Intelligence,laskshita,female,State,7,1,1,Electrical,C+,Indoor Games,15,29.80684225,3.055433389,52.36669383,6.77,laskshita@gmail.com
