Index,roll_number,batch_year,branch,student_name,gender,board_of_education,pursuing_year,extracurricular_activities,student_absence_days,cgpa,email
4,se20ucm5,2020,Computational Mathematics,ansul,male,ICSE,3,Indoor Games,19,6.37,ansul@gmail.com
4,se21ucse5,2021,Computer Science,anwar,male,ICSE,2,Indoor Games,17,4.79,anwar@gmail.com
4,se20uce5,2020,Civil,aparna,female,State,3,Others,29,4.31,aparna@gmail.com
4,se17ueee5,2017,Electrical and Electronics,aphsana,female,ICSE,10,Outdoor Games,26,5.31,aphsana@gmail.com
4,se17uai5,2017,Artificial Intelligence,arbana,female,Other,10,Others,4,4.16,arbana@gmail.com
4,se16ume5,2016,Mechanical,aruna,female,ICSE,10,Indoor Games,29,6.13,aruna@gmail.com
4,se20uai5,2020,Artificial Intelligence,aruni,female,ICSE,3,Club Activities,18,5.07,aruni@gmail.com
4,se17uece5,2017,Electronics and Communication,ashish,female,CBSE,10,Social Services,6,4.78,ashish@gmail.com
4,se22ueee5,2022,Electrical and Electronics,asif,male,ICSE,1,Indoor Games,26,8.18,asif@gmail.com
4,se22uce5,2022,Civil,aslam,male,ICSE,1,Indoor Games,20,9.73,aslam@gmail.com
4,se19ucse5,2019,Computer Science,aswin,male,Other,4,Outdoor Games,4,9.72,aswin@gmail.com
4,se22ucm5,2022,Computational Mathematics,avdesh,male,ICSE,1,Indoor Games,19,5.56,avdesh@gmail.com
4,se18uai5,2018,Artificial Intelligence,azaruddin,male,ICSE,10,Research Work,18,5.88,azaruddin@gmail.com
4,se16ucse5,2016,Computer Science,babar,male,State,10,Others,20,8.52,babar@gmail.com
4,se21ume5,2021,Mechanical,babita,female,State,2,Others,18,8.23,babita@gmail.com
4,se21uece5,2021,Electronics and Communication,banita,female,State,2,Outdoor Games,10,6.23,banita@gmail.com
4,se19uce5,2019,Civil,beeram,male,Other,4,Social Services,3,5.07,beeram@gmail.com
4,se17uce5,2017,Civil,bhagwati,female,Other,10,Social Services,29,7.13,bhagwati@gmail.com
5,se19ume6,2019,Mechanical,akhalak,male,CBSE,4,Research Work,3,5.12,akhalak@gmail.com
5,se19ucm6,2019,Computational Mathematics,akram,male,CBSE,4,Outdoor Games,17,8.87,akram@gmail.com
5,se16uai6,2016,Artificial Intelligence,akshay,male,ICSE,10,Outdoor Games,16,7.84,akshay@gmail.com
5,se20uece6,2020,Electronics and Communication,alema,female,ICSE,3,Club Activities,7,9.2,alema@gmail.com
5,se22ume6,2022,Mechanical,allabaksh,male,ICSE,1,Outdoor Games,22,9.26,allabaksh@gmail.com
5,se21ueee6,2021,Electrical and Electronics,amarvesh,male,CBSE,2,Others,15,4.39,amarvesh@gmail.com
5,se19uece6,2019,Electronics and Communication,amil,male,Other,4,Club Activities,11,7.34,amil@gmail.com
5,se20ueee6,2020,Electrical and Electronics,amiraka,female,CBSE,3,Social Services,22,5.92,amiraka@gmail.com
5,se18uece6,2018,Electronics and Communication,amisha,female,ICSE,10,Club Activities,9,5.39,amisha@gmail.com
5,se22ucse6,2022,Computer Science,amritpal,male,ICSE,1,Outdoor Games,16,7.05,amritpal@gmail.com
5,se16uece6,2016,Electronics and Communication,amrjeet,male,ICSE,10,Outdoor Games,29,8.38,amrjeet@gmail.com
5,se18ucse6,2018,Computer Science,anand,male,Other,10,Club Activities,10,9.65,anand@gmail.com
5,se20ucse6,2020,Computer Science,anikesh,male,State,3,Social Services,22,9.07,anikesh@gmail.com
5,se18uce6,2018,Civil,aniket,male,Other,10,Outdoor Games,21,7.59,aniket@gmail.com
5,se16ueee6,2016,Electrical and Electronics,anjaly,female,State,10,Club Activities,18,4.13,anjaly@gmail.com
